,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,,,,,,,
327,Virginia,35,23,12,0.657,12.89,4.23,11,7,20,2,3,8,2248,1945,,818,1790,0.457,213,553,0.385,399,565,0.706,298,1127,491,206,154,391,549,8.657142857,32.2,14.02857143,11.17142857,15.68571429,5.885714286,4.4
328,Wagner,31,19,12,0.613,-3.23,-5.07,12,6,11,3,7,8,2136,2079,,756,1731,0.437,132,416,0.317,492,698,0.705,377,1152,381,253,163,472,635,1.838709677,37.16129032,12.29032258,15.22580645,20.48387097,8.161290323,5.258064516
329,Wake Forest,31,13,18,0.419,3.41,6.15,6,12,11,5,1,10,2093,2178,,717,1652,0.434,168,487,0.345,491,722,0.68,293,1008,352,220,131,444,562,-2.741935484,32.51612903,11.35483871,14.32258065,18.12903226,7.096774194,4.225806452
330,Washington State,32,13,19,0.406,6.7,5.26,4,14,10,7,1,9,2061,2015,,717,1681,0.427,232,669,0.347,395,574,0.688,330,1067,392,144,77,385,488,1.4375,33.34375,12.25,12.03125,15.25,4.5,2.40625
331,Washington,34,18,16,0.529,7.93,7.22,9,9,11,7,5,7,2309,2285,,841,1931,0.436,181,528,0.343,446,653,0.683,439,1237,405,178,141,448,584,0.705882353,36.38235294,11.91176471,13.17647059,17.17647059,5.235294118,4.147058824
332,Weber State,37,30,7,0.811,5.87,-5.61,18,2,17,2,11,5,2800,2275,,990,1957,0.506,266,640,0.416,554,768,0.721,334,1331,518,195,165,457,623,14.18918919,35.97297297,14,12.35135135,16.83783784,5.27027027,4.459459459
333,West Virginia,32,13,19,0.406,4.6,6.54,6,13,8,6,3,9,2116,2178,,722,1769,0.408,171,541,0.316,501,721,0.695,429,1121,396,234,118,417,626,-1.9375,35.03125,12.375,13.03125,19.5625,7.3125,3.6875
334,Western Carolina,33,14,19,0.424,-6.45,-4.42,9,9,7,6,5,11,2288,2299,,828,1925,0.43,207,611,0.339,425,604,0.704,417,1141,373,250,100,429,652,-0.333333333,34.57575758,11.3030303,13,19.75757576,7.575757576,3.03030303
335,Western Illinois,31,22,9,0.71,-1.87,-5.42,13,3,12,2,7,5,1845,1663,,659,1414,0.466,161,412,0.391,366,570,0.642,220,937,371,181,125,352,391,5.870967742,30.22580645,11.96774194,11.35483871,12.61290323,5.838709677,4.032258065
336,Western Kentucky,36,20,16,0.556,-0.65,-1.14,10,10,11,4,4,9,2409,2364,,837,1959,0.427,226,709,0.319,509,755,0.674,441,1307,400,223,115,537,691,1.25,36.30555556,11.11111111,14.91666667,19.19444444,6.194444444,3.194444444
337,Western Michigan,35,22,13,0.629,0.42,-1.43,10,6,12,2,7,10,2345,2237,,785,1816,0.432,188,587,0.32,587,835,0.703,417,1289,412,198,114,510,628,3.085714286,36.82857143,11.77142857,14.57142857,17.94285714,5.657142857,3.257142857
338,Wichita State,39,30,9,0.769,14.68,6.09,12,6,14,2,7,5,2720,2385,,954,2166,0.44,259,765,0.339,553,791,0.699,512,1497,530,289,173,492,700,8.58974359,38.38461538,13.58974359,12.61538462,17.94871795,7.41025641,4.435897436
339,William & Mary,30,13,17,0.433,-4.03,-3.45,7,11,8,5,5,11,2064,2048,,718,1536,0.467,223,591,0.377,405,571,0.709,260,999,428,154,91,391,466,0.533333333,33.3,14.26666667,13.03333333,15.53333333,5.133333333,3.033333333
340,Winthrop,31,14,17,0.452,-8.61,-4.43,6,10,11,4,2,12,1859,1897,,647,1555,0.416,180,570,0.316,385,560,0.688,294,1009,294,150,67,403,541,-1.225806452,32.5483871,9.483870968,13,17.4516129,4.838709677,2.161290323
341,Wisconsin,35,23,12,0.657,18.76,9.73,12,6,15,3,5,6,2274,1958,,823,1960,0.42,259,785,0.33,369,582,0.634,406,1287,465,200,153,342,491,9.028571429,36.77142857,13.28571429,9.771428571,14.02857143,5.714285714,4.371428571
342,Wofford,32,13,19,0.406,-6.74,-4.65,7,11,9,3,3,15,1858,1890,,665,1696,0.392,182,593,0.307,346,477,0.725,293,1010,369,238,72,413,554,-1,31.5625,11.53125,12.90625,17.3125,7.4375,2.25
343,Wright State,36,23,13,0.639,2.25,-1.15,10,6,12,5,8,7,2233,2105,,801,1826,0.439,204,602,0.339,427,607,0.703,302,1093,430,267,69,467,656,3.555555556,30.36111111,11.94444444,12.97222222,18.22222222,7.416666667,1.916666667
344,Wyoming,34,20,14,0.588,5.39,4.61,4,12,13,6,6,7,2074,2010,,707,1655,0.427,224,695,0.322,436,646,0.675,258,974,397,214,110,387,521,1.882352941,28.64705882,11.67647059,11.38235294,15.32352941,6.294117647,3.235294118
345,Xavier,31,17,14,0.548,7.7,4.96,9,7,11,4,4,7,2021,1936,,722,1582,0.456,140,400,0.35,437,655,0.667,329,1092,348,164,86,402,541,2.741935484,35.22580645,11.22580645,12.96774194,17.4516129,5.290322581,2.774193548
346,Yale,31,14,17,0.452,-3.95,-0.81,8,6,8,4,5,11,2079,2056,,697,1620,0.43,184,524,0.351,501,688,0.728,369,1074,400,197,92,443,579,0.741935484,34.64516129,12.90322581,14.29032258,18.67741935,6.35483871,2.967741935
347,Youngstown State,34,18,16,0.529,-2.14,-0.81,7,9,12,5,6,8,2426,2356,,853,1979,0.431,245,707,0.347,475,686,0.692,345,1199,504,231,182,398,579,2.058823529,35.26470588,14.82352941,11.70588235,17.02941176,6.794117647,5.352941176
